#
# line_tag	ion   wavelength  f	    gamma      mass

FeIIIb_740     FeIIIb  740.9232  0.00049202  1.438e+09  55.845
NiII_740       NiII    740.9340  0.00018382  2.914e+07  58.693
FeIIIu_741     FeIIIu  741.5010  0.00013566  8.034e+08  55.845
FeIIIa_741     FeIIIa  741.6037  0.00010425  1.521e+09  55.845
FeIIIv_741     FeIIIv  741.6588  0.00013855  8.034e+08  55.845
FeIIIa_741.8   FeIIIa  741.8194  0.00070859  6.739e+08  55.845
FeIIIa_742     FeIIIa  742.6061  0.00017611  1.132e+09  55.845
NiIIa_742      NiIIa   742.8556  0.00178706  1.994e+07  58.693
FeIIIo_743     FeIIIo  743.2074  0.00024669  8.238e+08  55.845
FeIIIb_743     FeIIIb  743.2725  0.00102706  1.521e+09  55.845
FeIIIa_743     FeIIIa  743.2728  0.00011099  1.310e+09  55.845
FeIIIx_743     FeIIIx  743.4573  0.00082023  2.096e+09  55.845
FeIIIb_743.6   FeIIIb  743.6141  0.00070136  1.639e+09  55.845
NiII_744       NiII    744.1538  0.00085902  1.226e+07  58.693
FeIIIb_744     FeIIIb  744.2794  0.00089879  1.132e+09  55.845
FeIIIp_744     FeIIIp  744.3195  0.00011130  8.238e+08  55.845
FeIIIc_744     FeIIIc  744.3431  0.00136228  1.521e+09  55.845
NiIIa_744      NiIIa   744.3662  0.00266658  2.222e+07  58.693
NiII_744.6     NiII    744.6294  0.00686652  8.873e+07  58.693
FeIIIc_744.6   FeIIIc  744.6857  0.00126376  1.639e+09  55.845
NiII_744.8     NiII    744.8120  0.00482389  4.394e+07  58.693
NiII_744.86    NiII    744.8631  0.00105586  9.616e+06  58.693
NiII_744.88    NiII    744.8805  0.00277841  6.316e+07  58.693
NiIIa_744.9    NiIIa   744.9389  0.00099839  1.714e+07  58.693
NiII_745       NiII    745.1104  0.00040370  2.799e+07  58.693
FeIIId_745     FeIIId  745.2126  0.00023280  1.639e+09  55.845
FeIIIc_745     FeIIIc  745.3990  0.00129951  1.506e+09  55.845
NiIIa_745      NiIIa   745.4565  0.00063652  1.405e+07  58.693
NiIIa_745.5    NiIIa   745.5804  0.00162517  4.720e+07  58.693
NiIIa_745.6    NiIIa   745.6196  0.00017254  3.682e+07  58.693
NiIIa_745.64   NiIIa   745.6400  0.00301747  3.697e+07  58.693
NiIIa_745.65   NiIIa   745.6502  0.00166299  2.460e+07  58.693
NiIIa_746      NiIIa   746.2354  0.02003731  1.670e+08  58.693
FeIIIn_746     FeIIIn  746.2483  0.01229605  1.000e+09  55.845
NiIIa_746.3    NiIIa   746.3449  0.00177048  4.114e+07  58.693
NiII_746       NiII    746.4172  0.00013615  2.124e+07  58.693
NiIIa_746.5    NiIIa   746.5215  0.00412333  3.858e+07  58.693
NiIIa_746.9    NiIIa   746.9622  0.00032959  1.998e+07  58.693
FeIIIa_747     FeIIIa  747.2200  0.00011480  1.358e+09  55.845
FeIIIb_747     FeIIIb  747.3252  0.00024768  1.434e+09  55.845
FeIIIo_747     FeIIIo  747.4492  0.00316615  1.247e+09  55.845
FeIIIo_748     FeIIIo  748.3856  0.00039046  1.000e+09  55.845
FeIIIp_748     FeIIIp  748.5742  0.00022431  1.247e+09  55.845
FeIIId_748     FeIIId  748.9397  0.00383473  1.434e+09  55.845
FeIIIc_750     FeIIIc  750.0011  0.00070418  1.358e+09  55.845
FeIIIp_750     FeIIIp  750.3311  0.00171830  1.260e+09  55.845
NiII_750       NiII    750.9203  0.00120611  3.222e+07  58.693
FeIIIo_751     FeIIIo  751.6500  0.00909164  1.032e+09  55.845
NiII_751       NiII    751.9786  0.00023003  7.271e+07  58.693
NiII_752       NiII    752.3767  0.00426040  5.695e+07  58.693
NiII_752.6     NiII    752.6201  0.01089286  9.762e+07  58.693
NiII_752.7     NiII    752.7483  0.00060713  9.417e+06  58.693
FeIIIp_752     FeIIIp  752.7876  0.00038233  1.032e+09  55.845
NiIIa_753      NiIIa   753.0798  0.00053567  8.873e+07  58.693
NiIIa_753.3    NiIIa   753.3366  0.00104655  6.316e+07  58.693
NiII_753       NiII    753.4121  0.00012680  3.702e+07  58.693
FeIIIp_754     FeIIIp  754.4778  0.01078983  1.014e+09  55.845
NiIIa_760      NiIIa   760.4879  0.00030955  2.334e+07  58.693
NiIIa_760.5    NiIIa   760.5976  0.00121427  7.271e+07  58.693
NiIIa_760.9    NiIIa   760.9132  0.00130208  2.803e+07  58.693
NiIIa_761      NiIIa   761.0048  0.00054440  5.695e+07  58.693
FeIIIx_761     FeIIIx  761.7190  0.00010425  1.663e+09  55.845
NiIIa_762      NiIIa   762.0642  0.00429682  3.702e+07  58.693
NiII_762       NiII    762.5812  0.00279868  1.752e+08  58.693
NiII_762.5     NiII    762.5953  0.00026041  2.275e+06  58.693
NiII_762.6     NiII    762.6313  0.01523056  1.311e+08  58.693
NiII_762.68    NiII    762.6884  0.00084885  3.658e+08  58.693
NiII_762.7     NiII    762.7580  0.00464047  3.370e+08  58.693
NiII_762.9     NiII    762.9175  0.00038279  1.631e+08  58.693
NiIIa_765      NiIIa   765.0044  0.00023515  9.558e+06  58.693
FeIIIx_765     FeIIIx  765.1425  0.00020153  1.735e+09  55.845
NiII_766       NiII    766.3978  0.00052367  6.846e+07  58.693
NiII_767       NiII    767.2726  0.00067668  5.026e+07  58.693
FeIIIt_767     FeIIIt  767.5029  0.00072684  1.150e+09  55.845
NiII_767.8     NiII    767.8868  0.01715034  4.264e+08  58.693
NiII_767.89    NiII    767.8966  0.02876143  2.441e+08  58.693
NiII_767.9     NiII    767.9967  0.00086661  8.591e+06  58.693
NiII_768       NiII    768.0655  0.00379724  3.576e+08  58.693
NiII_768.1     NiII    768.1412  0.01220781  2.615e+08  58.693
NiII_768.2     NiII    768.2024  0.00637031  2.469e+08  58.693
NiII_770       NiII    770.5225  0.00050796  1.430e+07  58.693
NiIIa_771      NiIIa   771.4464  0.01913882  1.752e+08  58.693
NiIIa_771.5    NiIIa   771.5561  0.03132698  3.658e+08  58.693
NiIIa_771.6    NiIIa   771.6273  0.03789391  3.370e+08  58.693
NiIIa_771.7    NiIIa   771.7905  0.01393157  1.631e+08  58.693
NiIIa_771.8    NiIIa   771.8616  0.00848553  1.903e+08  58.693
FeIIIs_773     FeIIIs  773.0943  0.00316671  1.290e+09  55.845
FeIIIt_773     FeIIIt  773.1102  0.00198637  1.305e+09  55.845
FeIIIt_773.1   FeIIIt  773.1521  0.00021240  1.290e+09  55.845
FeIIIu_774     FeIIIu  774.1144  0.00356807  1.274e+09  55.845
NiIIa_774      NiIIa   774.8125  0.00047703  1.272e+07  58.693
NiII_775       NiII    775.9939  0.05055698  4.201e+08  58.693
NiII_776       NiII    776.0729  0.06357029  7.350e+08  58.693
FeIIIi_776     FeIIIi  776.1732  0.00041247  1.635e+09  55.845
NiII_776.2     NiII    776.2339  0.01022606  8.495e+07  58.693
NiIIa_776      NiIIa   776.2478  0.00327029  5.026e+07  58.693
NiII_776.26    NiII    776.2635  0.01770724  3.570e+08  58.693
NiII_776.3     NiII    776.3780  0.00713921  8.214e+07  58.693
NiIIc_776      NiIIc   776.4467  0.00051520  7.376e+06  58.693
FeIIIs_776     FeIIIs  776.5349  0.00085307  8.238e+08  55.845
NiII_776.8     NiII    776.8075  0.01260545  2.552e+08  58.693
NiIIa_776.8    NiIIa   776.8765  0.03148907  4.264e+08  58.693
NiIIa_777      NiIIa   777.0594  0.02652483  3.576e+08  58.693
